Date,Open,High,Low,Close,Volume
2024-01-01,150.25,152.50,149.75,151.80,1000000
2024-01-02,151.80,153.25,151.00,152.50,1200000
2024-01-03,152.50,155.00,152.00,154.75,1500000
2024-01-04,154.75,156.00,153.50,155.50,1300000
2024-01-05,155.50,157.00,154.75,156.80,1400000
2024-01-06,156.80,158.50,156.00,157.50,1100000
2024-01-07,157.50,159.00,156.50,158.25,1600000
2024-01-08,158.25,159.50,157.00,158.75,1200000
2024-01-09,158.75,160.00,158.00,159.50,1300000
2024-01-10,159.50,160.50,158.50,160.00,1400000
